,age,maritalstatus,education,vh14p,vh12g,vh12p,vh10g,vh10p,vh08g,vh08p,vh06g,vh06p,vh04g,vh04p,vh02g,vh02p,vh00g,vh00p,net_worth,home_owner_or_renter,g08_precinct_turnout,g10_precinct_turnout,g12_precinct_turnout,p08_precinct_turnout,p10_precinct_turnout,p12_precinct_turnout,vote_prob
31707,0.4567901234567901,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.39,0.27,0.3285714285714287,0.05,0.09,0.07,0.13333333333333325
5799,0.7037037037037037,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.625,0.0,0.67,0.53,0.6714285714285715,0.09,0.17,0.11,0.13333333333333347
46721,0.9259259259259258,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.375,1.0,0.75,0.65,0.8,0.16,0.3,0.18,0.5999999999999999
20051,0.5432098765432098,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.63,0.56,0.7285714285714286,0.11,0.23,0.15,0.3333333333333335
10940,0.2962962962962962,0.5,0.7272727272727273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.25,0.0,0.64,0.52,0.6714285714285715,0.1,0.18,0.12,0.13333333333333325
8305,0.5802469135802468,0.0,0.6363636363636364,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.0,0.73,0.59,0.7285714285714286,0.15,0.26,0.19,0.4666666666666667
46445,0.6666666666666667,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.55,0.44,0.5,0.1,0.19,0.11,0.13333333333333333
19377,0.024691358024691357,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.63,0.48,0.5714285714285716,0.17,0.16,0.17,0.06666666666666658
33926,0.5432098765432098,0.0,0.36363636363636365,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.0,0.76,0.7000000000000001,0.7714285714285714,0.2,0.32,0.21,0.8666666666666663
38857,0.5308641975308641,0.5,0.18181818181818182,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.0,0.72,0.61,0.6857142857142857,0.16,0.29,0.18,0.26666666666666666
48842,0.728395061728395,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.375,1.0,0.62,0.49,0.5999999999999999,0.14,0.22,0.1,0.06666666666666671
31842,0.2345679012345679,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.36,0.25,0.3714285714285715,0.05,0.07,0.05,0.0666666666666667
4790,0.5925925925925926,0.0,0.2727272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.5700000000000001,0.48,0.5714285714285716,0.11,0.22,0.14,0.13333333333333341
10023,0.24691358024691357,1.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.49,0.3,0.5142857142857145,0.04,0.08,0.07,0.2666666666666668
2428,0.3333333333333333,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.62,0.47,0.6142857142857143,0.13,0.21,0.15,1.9898017889524477e-17
31046,0.3209876543209877,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.73,0.7000000000000001,0.8,0.29,0.39,0.31,0.3333333333333331
33091,0.6049382716049383,1.0,0.4545454545454546,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.875,1.0,0.68,0.61,0.7428571428571429,0.22,0.35000000000000003,0.24,0.7999999999999998
952,0.5185185185185186,1.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.5,0.0,0.71,0.66,0.7571428571428573,0.14,0.32,0.18,0.4
18944,0.19753086419753085,1.0,0.4545454545454546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.46,0.31,0.5285714285714287,0.03,0.08,0.07,0.06666666666666668
6928,0.07407407407407407,1.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.71,0.62,0.6714285714285715,0.17,0.32,0.17,0.0666666666666667
24886,0.34567901234567894,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.5,0.0,0.5,0.38,0.5999999999999999,0.04,0.09,0.08,0.4
34162,0.2222222222222222,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.25,0.0,0.72,0.63,0.7285714285714286,0.19,0.32,0.19,0.26666666666666655
40198,0.08641975308641975,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.65,0.56,0.7142857142857144,0.2,0.25,0.2,0.06666666666666661
44015,0.6049382716049383,1.0,0.18181818181818182,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.875,0.0,0.63,0.51,0.5714285714285716,0.15,0.24,0.15,0.4666666666666667
11281,0.30864197530864196,0.0,0.8181818181818182,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.375,0.0,0.62,0.56,0.6428571428571428,0.14,0.24,0.15,0.2666666666666665
44002,0.271604938271605,0.5,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.25,0.0,0.61,0.55,0.7,0.09,0.2,0.14,0.7999999999999995
39891,0.30864197530864196,0.5,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.25,0.0,0.68,0.5700000000000001,0.7142857142857144,0.08,0.23,0.11,0.20000000000000018
1912,0.43209876543209874,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5,0.36,0.5285714285714287,0.03,0.08,0.05,3.460926687796717e-17
18473,0.1111111111111111,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.36,0.23,0.2714285714285714,0.05,0.08,0.05,0.06666666666666665
1046,0.06172839506172839,1.0,0.7272727272727273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.56,0.44,0.5285714285714287,0.1,0.16,0.12,0.0666666666666666
26155,0.012345679012345678,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5700000000000001,0.45,0.6428571428571428,0.08,0.14,0.09,0.0
16171,0.30864197530864196,0.5,0.7272727272727273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.64,0.58,0.6714285714285715,0.13,0.23,0.12,0.06666666666666667
42212,0.30864197530864196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.25,0.0,0.6900000000000001,0.63,0.7571428571428573,0.18,0.28,0.19,0.2666666666666667
37292,0.5679012345679013,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.0,0.75,0.7000000000000001,0.8,0.17,0.32,0.17,0.20000000000000043
40708,0.20987654320987653,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.52,0.35000000000000003,0.5285714285714287,0.05,0.08,0.07,0.06666666666666674
44891,0.037037037037037035,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.47,0.35000000000000003,0.45714285714285713,0.05,0.1,0.06,0.06666666666666653
41799,0.4074074074074074,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.875,0.0,0.6,0.46,0.5285714285714287,0.09,0.17,0.07,0.26666666666666655
31003,0.024691358024691357,1.0,0.7272727272727273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.7000000000000001,0.65,0.7714285714285714,0.26,0.39,0.25,0.06666666666666664
29291,0.5925925925925926,1.0,0.36363636363636365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.25,0.0,0.53,0.42,0.5571428571428572,0.06,0.15,0.1,0.13333333333333344
32380,0.5308641975308641,0.5,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.5700000000000001,0.45,0.5714285714285716,0.1,0.15,0.1,0.26666666666666694
39939,0.7777777777777779,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.625,0.0,0.84,0.79,0.8285714285714285,0.3,0.5,0.36,0.26666666666666694
25722,0.04938271604938271,1.0,0.7272727272727273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.58,0.49,0.6285714285714286,0.09,0.2,0.08,0.13333333333333328
8426,0.5185185185185186,1.0,0.8181818181818182,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.0,0.61,0.48,0.5714285714285716,0.13,0.23,0.14,0.2666666666666668
40946,0.19753086419753085,1.0,0.7272727272727273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.68,0.59,0.7,0.18,0.26,0.18,4.349532679815888e-17
1129,0.4074074074074074,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.52,0.35000000000000003,0.5285714285714287,0.05,0.08,0.07,0.06666666666666665
17587,0.13580246913580246,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.58,0.49,0.6285714285714286,0.09,0.2,0.08,0.3333333333333333
23275,0.6049382716049383,1.0,0.18181818181818182,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.0,0.73,0.66,0.6857142857142857,0.2,0.35000000000000003,0.37,0.933333333333333
22245,0.7777777777777779,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.875,0.0,0.71,0.6900000000000001,0.7285714285714286,0.24,0.4,0.26,0.20000000000000018
13347,0.20987654320987653,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5700000000000001,0.45,0.6285714285714286,0.07,0.17,0.11,0.0
852,0.35802469135802467,0.0,0.8181818181818182,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.77,0.64,0.7857142857142856,0.2,0.36,0.21,0.6666666666666663
15708,0.4567901234567901,1.0,0.7272727272727273,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.58,0.54,0.5571428571428572,0.15,0.27,0.15,0.33333333333333315
728,0.5432098765432098,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.125,1.0,0.75,0.73,0.7857142857142856,0.3,0.45,0.35000000000000003,0.26666666666666666
21713,0.43209876543209874,1.0,0.8181818181818182,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.5,0.0,0.52,0.43,0.6428571428571428,0.04,0.11,0.07,0.7999999999999998
9988,0.6419753086419753,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.68,0.58,0.6285714285714286,0.14,0.29,0.18,9.77713063854734e-17
24825,0.12345679012345678,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6900000000000001,0.6,0.7,0.16,0.3,0.18,0.13333333333333355
41107,0.14814814814814814,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.25,0.0,0.6,0.44,0.5714285714285716,0.1,0.17,0.13,0.26666666666666666
15083,0.48148148148148145,1.0,0.4545454545454546,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.74,0.63,0.7428571428571429,0.15,0.28,0.17,0.5333333333333332
17742,0.6666666666666667,1.0,0.36363636363636365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.25,0.0,0.63,0.56,0.7285714285714286,0.11,0.23,0.15,0.46666666666666656
29283,0.16049382716049382,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.75,0.6900000000000001,0.8,0.22,0.41,0.22,0.19999999999999998
11042,0.1728395061728395,0.0,0.2727272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.63,0.52,0.6285714285714286,0.1,0.17,0.13,1.3237053872349301e-17
6583,0.44444444444444436,0.0,0.7272727272727273,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.25,0.0,0.6,0.47,0.5857142857142856,0.09,0.17,0.1,0.20000000000000023
41762,0.34567901234567894,0.0,0.36363636363636365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.59,0.51,0.6857142857142857,0.12,0.2,0.13,0.1333333333333335
19356,0.46913580246913583,0.0,0.18181818181818182,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.5,0.0,0.65,0.5700000000000001,0.7142857142857144,0.09,0.24,0.12,0.5333333333333331
22335,0.43209876543209874,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.63,0.61,0.5999999999999999,0.16,0.33,0.24,0.06666666666666668
26933,0.6666666666666667,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.625,0.0,0.75,0.67,0.7857142857142856,0.15,0.32,0.13,0.8666666666666661
20873,0.5925925925925926,0.0,0.36363636363636365,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.5,0.0,0.77,0.68,0.7857142857142856,0.15,0.31,0.18,0.5333333333333332
23854,0.18518518518518517,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.59,0.43,0.6285714285714286,0.05,0.12,0.09,0.0
4263,0.14814814814814814,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5700000000000001,0.42,0.5857142857142856,0.08,0.15,0.09,0.0
34814,0.2962962962962962,0.0,0.7272727272727273,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.8200000000000001,0.73,0.8285714285714285,0.19,0.36,0.19,0.4666666666666666
21241,0.38271604938271603,1.0,0.4545454545454546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.64,0.56,0.6571428571428573,0.12,0.26,0.15,1.2621892879129066e-16
11249,0.6296296296296295,0.0,0.09090909090909091,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.625,0.0,0.72,0.59,0.7,0.15,0.25,0.15,0.8
21328,0.08641975308641975,1.0,0.7272727272727273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.68,0.56,0.6857142857142857,0.12,0.24,0.13,0.06666666666666661
34572,0.4197530864197531,1.0,0.4545454545454546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.5,0.0,0.63,0.52,0.6285714285714286,0.1,0.17,0.13,0.2666666666666666
12844,0.5925925925925926,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.73,0.8142857142857143,0.29,0.45,0.32,0.9999999999999998
28176,0.35802469135802467,0.0,0.36363636363636365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.5,0.0,0.51,0.35000000000000003,0.5571428571428572,0.03,0.08,0.03,0.33333333333333326
13681,0.5802469135802468,0.0,0.18181818181818182,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.67,0.58,0.6428571428571428,0.15,0.28,0.16,0.9999999999999997
32790,0.617283950617284,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.375,1.0,0.71,0.61,0.7857142857142856,0.16,0.28,0.2,0.6000000000000001
34262,0.2962962962962962,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.5,0.0,0.62,0.52,0.6142857142857143,0.08,0.18,0.11,0.7333333333333332
22336,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.62,0.47,0.6142857142857143,0.06,0.14,0.09,0.0
25855,0.14814814814814814,0.5,0.36363636363636365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.51,0.41,0.5,0.11,0.16,0.14,0.06666666666666668
32033,0.09876543209876543,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.3,0.22,0.2285714285714286,0.05,0.07,0.08,0.0
39768,0.25925925925925924,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.0,0.54,0.37,0.5714285714285716,0.03,0.07,0.05,0.13333333333333344
